Domain,Phase #,Category,Activity,MH Effort (Days),Can be expedited / scaled with CoCo,Effort with AI Scale,Calculation
Print,1,Physical Layer Setup,Database creation,0.25,Yes,0.175,3 databases
Print,1,Physical Layer Setup,Schema creation,0.25,Yes,0.175,Schemas per database
Print,1,Physical Layer Setup,Access configuration,0.5,No,0.5,Initial role grants
Print,1,Current State Analysis,Table analysis,1,Yes,0.7,2 tables
Print,1,Current State Analysis,Data profiling,1,Yes,0.7,2 tables
Print,1,Current State Analysis,Event type & grain analysis,2,Yes,1.4,50+ events + grain
Print,1,Current State Analysis,Target model design,3,Yes,2.1,3-layer architecture
Print,1,Current State Analysis,Revenue allocation design,1,No,1,Allocation rules
Print,1,Current State Analysis,Design review & iteration,1,No,1,Stakeholder review
Print,1,Transformation Analysis,Medium model analysis,5,Yes,3.5,24 models x 0.25 days
Print,1,Transformation Analysis,Complex model analysis,3,Yes,2.1,6 models x 0.5 days
Print,1,Transformation Analysis,Lineage documentation,1,Yes,0.7,Model dependencies
Print,1,New DBT Model Design,New model design,6.3,Yes,4.41,21 models x 0.3 days
Print,1,New DBT Model Design,Phase-based model design,2,Yes,1.4,Print Funnel phases
Print,1,New DBT Model Design,Grain-specific model design,2,Yes,1.4,Print Ordered grains
Print,1,New DBT Model Design,Bridge table design,1,Yes,0.7,Many-to-many
Print,1,New DBT Model Design,Design documentation,2,Yes,1.4,Technical specifications
Print,2,New DBT Model Build,Medium model build,8.5,Yes,5.95,17 models x 0.5 days
Print,2,New DBT Model Build,Complex model build,4,Yes,2.8,4 models x 1.0 days
Print,2,New DBT Model Build,Model configuration,1,Yes,0.7,"YAML, tests, docs"
Print,2,Semantic Layer,Requirements discovery,1,No,1,2 areas x 0.5 days
Print,2,Semantic Layer,Metric definition,2,No,2,Metrics for semantic layer
Print,2,Semantic Layer,Semantic model design,2,Yes,1.4,2 models x 1.0 days
Print,2,Semantic Layer,Semantic view build,1.5,Yes,1.05,2 views x 0.75 days
Print,2,Semantic Layer,Snowflake Intelligence validation,2,No,2,Cortex Analyst testing
Print,2,Orchestration Setup,Orchestration design,2,No,2,Event + daily patterns
Print,2,Orchestration Setup,Airflow DAG development,2,Yes,1.4,Existing Airflow
Print,2,Orchestration Setup,Event trigger configuration,0,No,0,2-hour triggers
Print,2,Orchestration Setup,Schedule configuration,0,No,0,Daily schedules
Print,2,Orchestration Setup,Testing & validation,1.5,No,1.5,End-to-end testing
Print,3,Historical Data Migration,Migration strategy design,1,No,1,7.5B row approach
Print,3,Historical Data Migration,Migration script development,2,Yes,1.4,Phase-based targets
Print,3,Historical Data Migration,Data extraction & load,0,No,0,Full historical (2.5TB)
Print,3,Historical Data Migration,Data reconciliation,1.5,No,1.5,Large volume validation
Print,3,Historical Data Migration,Issue resolution,1,No,1,Migration discrepancies
Print,3,Testing,Unit test development,0,Yes,0,New model tests
Print,3,Testing,Integration testing,3,No,3,End-to-end validation
Print,3,Testing,Data quality testing,2,Yes,1.4,"Accuracy, completeness"
Print,3,Deployment,Dev environment deployment,2,No,2,Initial deployment
Print,4,Parallel Run Support,Parallel Run Support,0,No,0,Dual-pipeline configuration - requested to be removed by Adrian
Print,4,Documentation,Solution design document,2,Yes,1.4,Architecture documentation
Print,4,Documentation,Data architecture document,2,Yes,1.4,Data model specs
Print,4,Documentation,Knowledge transfer,0.5,No,0.5,2 sessions x 1 hour
Print,5,Contingency (15%),Contingency (15%),11.52,No,8.964,15% of total time
,,,,,,,
,,Total,,,,68.724,
