Project Week,Task Name,Start Date,End Date,Assignee,Hours Per Week
Week 1,Phase 1: Discovery & Design,1/1/2025,1/7/2025,Lead Architect,40
Week 2,Phase 1: Discovery & Design,1/8/2025,1/14/2025,Lead Architect,40
Week 3,Phase 1: Discovery & Design,1/15/2025,1/21/2025,Lead Architect,40
Week 1,Phase 1: Discovery & Design,1/1/2025,1/7/2025,Openflow Engineer,4
Week 2,Phase 1: Discovery & Design,1/8/2025,1/14/2025,Openflow Engineer,4
Week 3,Phase 1: Discovery & Design,1/15/2025,1/21/2025,Openflow Engineer,4
Week 4,Phase 2: Build - Monitoring Framework,1/22/2025,1/28/2025,Solution Architect,30
Week 5,Phase 2: Build - Monitoring Framework,1/29/2025,2/4/2025,Solution Architect,30
Week 6,Phase 2: Build - Monitoring Framework,2/5/2025,2/11/2025,Solution Architect,30
Week 4,Phase 2: Build - Monitoring Framework,1/22/2025,1/28/2025,Lead Architect,20
Week 5,Phase 2: Build - Monitoring Framework,1/29/2025,2/4/2025,Lead Architect,20
Week 6,Phase 2: Build - Monitoring Framework,2/5/2025,2/11/2025,Lead Architect,20
Week 4,Phase 2: Build - Monitoring Framework,1/22/2025,1/28/2025,Openflow Engineer,4
Week 5,Phase 2: Build - Monitoring Framework,1/29/2025,2/4/2025,Openflow Engineer,4
Week 6,Phase 2: Build - Monitoring Framework,2/5/2025,2/11/2025,Openflow Engineer,4
Week 7,Phase 3: Build - Webhook Pattern,2/12/2025,2/18/2025,Openflow Engineer,4
Week 8,Phase 3: Build - Webhook Pattern,2/19/2025,2/25/2025,Openflow Engineer,4
Week 9,Phase 3: Build - Webhook Pattern,2/26/2025,3/4/2025,Openflow Engineer,4
Week 10,Phase 3: Build - Webhook Pattern,3/5/2025,3/11/2025,Openflow Engineer,4
Week 7,Phase 3: Build - Webhook Pattern,2/12/2025,2/18/2025,Solution Architect,30
Week 8,Phase 3: Build - Webhook Pattern,2/19/2025,2/25/2025,Solution Architect,30
Week 9,Phase 3: Build - Webhook Pattern,2/26/2025,3/4/2025,Solution Architect,30
Week 10,Phase 3: Build - Webhook Pattern,3/5/2025,3/11/2025,Solution Architect,30
Week 7,Phase 3: Build - Webhook Pattern,2/12/2025,2/18/2025,Lead Architect,10
Week 8,Phase 3: Build - Webhook Pattern,2/19/2025,2/25/2025,Lead Architect,10
Week 9,Phase 3: Build - Webhook Pattern,2/26/2025,3/4/2025,Lead Architect,10
Week 10,Phase 3: Build - Webhook Pattern,3/5/2025,3/11/2025,Lead Architect,10
Week 11,Phase 3: Build - Webhook Pattern,3/12/2025,3/18/2025,Solution Architect,30
Week 12,Phase 3: Build - Webhook Pattern,3/19/2025,3/25/2025,Solution Architect,30
Week 11,Phase 3: Build - Webhook Pattern,3/12/2025,3/18/2025,Lead Architect,10
Week 12,Phase 3: Build - Webhook Pattern,3/19/2025,3/25/2025,Lead Architect,10
Week 11,Phase 3: Build - Webhook Pattern,3/12/2025,3/18/2025,Openflow Engineer,4
Week 12,Phase 3: Build - Webhook Pattern,3/19/2025,3/25/2025,Openflow Engineer,4
Week 13,Phase 4: First Source Implementation,3/26/2025,4/1/2025,Solution Architect,20
Week 14,Phase 4: First Source Implementation,4/2/2025,4/8/2025,Solution Architect,20
Week 15,Phase 4: First Source Implementation,4/9/2025,4/15/2025,Solution Architect,20
Week 13,Phase 4: First Source Implementation,3/26/2025,4/1/2025,Lead Architect,20
Week 14,Phase 4: First Source Implementation,4/2/2025,4/8/2025,Lead Architect,20
Week 15,Phase 4: First Source Implementation,4/9/2025,4/15/2025,Lead Architect,20
Week 16,Phase 5: Knowledge Transfer,4/16/2025,4/22/2025,Solution Architect,30
Week 16,Phase 5: Knowledge Transfer,4/16/2025,4/22/2025,Lead Architect,20
Week 17,Phase 6: Hypercare & Handover,4/23/2025,4/29/2025,Solution Architect,20
Week 18,Phase 6: Hypercare & Handover,4/30/2025,5/6/2025,Solution Architect,20
Week 19,Phase 6: Hypercare & Handover,5/7/2025,5/13/2025,Solution Architect,10
Week 20,Phase 6: Hypercare & Handover,5/14/2025,5/20/2025,Solution Architect,5
Week 17,Phase 6: Hypercare & Handover,4/23/2025,4/29/2025,Lead Architect,5
Week 18,Phase 6: Hypercare & Handover,4/30/2025,5/6/2025,Lead Architect,5
Week 19,Phase 6: Hypercare & Handover,5/7/2025,5/13/2025,Lead Architect,5
Week 20,Phase 6: Hypercare & Handover,5/14/2025,5/20/2025,Lead Architect,5
Week 1,Phase 1: Discovery & Design,1/1/2025,1/7/2025,Service Delivery Manager,5
Week 2,Phase 1: Discovery & Design,1/8/2025,1/14/2025,Service Delivery Manager,5
Week 3,Phase 1: Discovery & Design,1/15/2025,1/21/2025,Service Delivery Manager,5
Week 4,Phase 2: Build - Monitoring Framework,1/22/2025,1/28/2025,Service Delivery Manager,5
Week 5,Phase 2: Build - Monitoring Framework,1/29/2025,2/4/2025,Service Delivery Manager,5
Week 6,Phase 2: Build - Monitoring Framework,2/5/2025,2/11/2025,Service Delivery Manager,5
Week 7,Phase 3: Build - Webhook Pattern,2/12/2025,2/18/2025,Service Delivery Manager,5
Week 8,Phase 3: Build - Webhook Pattern,2/19/2025,2/25/2025,Service Delivery Manager,5
Week 9,Phase 3: Build - Webhook Pattern,2/26/2025,3/4/2025,Service Delivery Manager,5
Week 10,Phase 3: Build - Webhook Pattern,3/5/2025,3/11/2025,Service Delivery Manager,5
Week 11,Phase 3: Build - Webhook Pattern,3/12/2025,3/18/2025,Service Delivery Manager,5
Week 12,Phase 3: Build - Webhook Pattern,3/19/2025,3/25/2025,Service Delivery Manager,5
Week 13,Phase 4: First Source Implementation,3/26/2025,4/1/2025,Service Delivery Manager,5
Week 14,Phase 4: First Source Implementation,4/2/2025,4/8/2025,Service Delivery Manager,5
Week 15,Phase 4: First Source Implementation,4/9/2025,4/15/2025,Service Delivery Manager,5
Week 16,Phase 5: Knowledge Transfer,4/16/2025,4/22/2025,Service Delivery Manager,5
Week 17,Phase 6: Hypercare & Handover,4/23/2025,4/29/2025,Service Delivery Manager,5
Week 18,Phase 6: Hypercare & Handover,4/30/2025,5/6/2025,Service Delivery Manager,5
Week 19,Phase 6: Hypercare & Handover,5/7/2025,5/13/2025,Service Delivery Manager,5
Week 20,Phase 6: Hypercare & Handover,5/14/2025,5/20/2025,Service Delivery Manager,5
